Seed,N,Subset_Key,Split_Number,Repeat,Fold,Train_Size,Validation_Size,Train_Class_0,Train_Class_1,Validation_Class_0,Validation_Class_1,Fold_SHA256
4526,64,S4526_N64,16,4,4,48,16,24,24,8,8,966659bd722f424fc2368bdaac28404afeb019400367442e1e702b5f5d668a28
4526,64,S4526_N64,17,5,1,48,16,24,24,8,8,e89f2eaae29605e42fa6a6c9b94db318635bb5737a99c01ddbf339e05d903053
4526,64,S4526_N64,18,5,2,48,16,24,24,8,8,79e1ca79a3207edacc33b194aaeab9eaca695d679c9b2af6d116efeed484d072
4526,64,S4526_N64,19,5,3,48,16,24,24,8,8,e7a2d3208b0d0bc44d77699a9acd05638659db5b5e1dbe3360ae82d43343bb18
4526,64,S4526_N64,20,5,4,48,16,24,24,8,8,6f4a6455dca55e0ef26d89b13b91fafd868aa9f85feb0c2afc9401fe5559a1c5
4527,16,S4527_N16,1,1,1,12,4,6,6,2,2,f6a67a9e38c5f14cc2abaa5bb86bdea3eca6b76eaef6811847340de6f8f2b37f
4527,16,S4527_N16,2,1,2,12,4,6,6,2,2,e605804d02a2b8d7f77e60a1ede6e7b200e475e8901b4eded01575c27f22c1a1
4527,16,S4527_N16,3,1,3,12,4,6,6,2,2,e640dc4a5933cf50dfe4b69c2306e546cbcd06fc40429efa481f5a2caf9b0738
4527,16,S4527_N16,4,1,4,12,4,6,6,2,2,3a125bc975bcc19b59ee576a9cfcaf564e92272668c296b2c78ccc87308b22ca
4527,16,S4527_N16,5,2,1,12,4,6,6,2,2,71615decd4ffc7c3336ec6c9af1d57992d0af7492f6462a6744145166c555fea
4527,16,S4527_N16,6,2,2,12,4,6,6,2,2,f9fe88f111bdaf5b8da450a8c3da4ef019f6e663fcdb7e414b02f56f0787c2da
