Seed,N,Model,Balanced_Accuracy,MCC,F1,ROC_AUC,Specificity,Sensitivity,Unsafe_Acceptance,Support_Vectors,Kernel_Lambda_Min,Kernel_Condition_Number
4542,16,Pauli_Z_YY,0.525,0.06547005383792517,0.5016666666666667,,0.525,0.525,0.475,12.0,0.18731170361048124,12.10228848005723
4542,16,SVM_RBF_Fixed,0.5625,0.12886751345948128,0.5133333333333334,,0.55,0.575,0.45,12.0,,
4542,16,Separable_Control,0.5625,0.12886751345948128,0.505,,0.6,0.525,0.4,11.9,0.053955413666245344,112.12210154342785
4542,16,ZZ_Linear,0.5375,0.09433756729740646,0.47333333333333333,,0.6,0.475,0.4,12.0,0.18459527012317245,13.09038821682762
4542,32,Custom_Domain,0.59375,0.20268507095823934,0.5881746031746031,0.590625,0.5375,0.65,0.4625,23.6,0.01806751651279885,395.94485540604876
4542,32,Pauli_Z_YY,0.61875,0.2694560015250704,0.6096320346320346,0.69375,0.6125,0.625,0.3875,23.1,0.02735275906525195,166.98016465865373
4542,32,SVM_RBF_Fixed,0.6,0.23284693376661822,0.600544733044733,0.6375,0.55,0.65,0.45,23.25,,
4542,32,Separable_Control,0.45625,-0.09553800159989359,0.4365476190476191,0.4125,0.45,0.4625,0.55,23.8,0.0098485676678342,1145.544343624085
4542,32,ZZ_Linear,0.61875,0.265481518259162,0.5730194805194805,0.696875,0.65,0.5875,0.35,22.8,0.023816472627093653,217.56740223587218
4542,64,Custom_Domain,0.565625,0.13146568413391574,0.507604833247248,0.5546875,0.64375,0.4875,0.35625,45.7,0.00763646863649715,1853.961359105969
4542,64,Pauli_Z_YY,0.5625,0.13520597094678716,0.5167890803726717,0.58203125,0.65,0.475,0.35,46.0,0.0074095896586655,1120.9417083432659
4542,64,SVM_RBF_Fixed,0.509375,0.024168172866358674,0.4792323392981287,0.5234375,0.54375,0.475,0.45625,45.95,,
4542,64,Separable_Control,0.509375,0.020864626633989254,0.480809792202981,0.50546875,0.55,0.46875,0.45,45.55,0.00204031886707495,10926.304351127706
4542,64,ZZ_Linear,0.55625,0.11476251244969186,0.49493887175775714,0.5703125,0.65625,0.45625,0.34375,45.05,0.007646562587059501,1184.534375668908
4543,16,Custom_Domain,0.425,-0.16547005383792518,0.34500000000000003,,0.45,0.4,0.55,11.9,0.15275881312051384,24.437505142281218
4543,16,Pauli_Z_YY,0.425,-0.17320508075688776,0.3616666666666667,,0.375,0.475,0.625,12.0,0.18103510131722378,13.379983154435557
4543,16,SVM_RBF_Fixed,0.4625,-0.07886751345948129,0.32999999999999996,,0.525,0.4,0.475,12.0,,
4543,16,Separable_Control,0.4625,-0.08660254037844388,0.4416666666666667,,0.375,0.55,0.625,12.0,0.0536456292436584,114.59980079766876
4543,16,ZZ_Linear,0.4875,-0.02113248654051871,0.4416666666666667,,0.45,0.525,0.55,12.0,0.1942050664000354,12.493100858149734
4543,32,Custom_Domain,0.49375,-0.008561443273686974,0.4503968253968254,0.48125,0.5375,0.45,0.4625,23.3,0.06309737977832455,106.66872818947061
4543,32,Pauli_Z_YY,0.425,-0.1546874024341974,0.4017316017316017,0.3875,0.4125,0.4375,0.5875,23.95,0.08694998698684961,38.63779339679969
4543,32,SVM_RBF_Fixed,0.39375,-0.22980583666186133,0.329018759018759,0.403125,0.4375,0.35,0.5625,23.55,,
4543,32,Separable_Control,0.4625,-0.08122021057720258,0.3827236652236652,0.490625,0.5375,0.3875,0.4625,23.85,0.015492425617416199,779.786802904054
4543,32,ZZ_Linear,0.45,-0.10855491589367869,0.4187049062049062,0.43125,0.4625,0.4375,0.5375,23.9,0.09866273439189596,39.85146098340394
4543,64,Custom_Domain,0.440625,-0.12350748112252223,0.42659356725146197,0.39296875,0.4375,0.44375,0.5625,46.95,0.017578266569399252,737.3592286584436
4543,64,Pauli_Z_YY,0.54375,0.09133805023569762,0.5361487239970212,0.49453125,0.53125,0.55625,0.46875,47.3,0.015539344191017102,448.88356445018275
4543,64,SVM_RBF_Fixed,0.49375,-0.006528056866196727,0.49321187584345483,0.48203125,0.46875,0.51875,0.53125,46.7,,
4543,64,Separable_Control,0.478125,-0.045145144941249174,0.4420506346938235,0.453125,0.5375,0.41875,0.4625,47.05,0.002767100269495,8390.252511702478
4543,64,ZZ_Linear,0.534375,0.06917829763205971,0.5417581897806356,0.56328125,0.49375,0.575,0.50625,46.95,0.016703974865756352,453.81137859750993
