Shots,Repetition,Random_Seed,Split_Number,Train_Lambda_Min,Negative_Eigenvalues,PSD_Raw,Prediction_Change_Rate,Exact_BA,Shot_BA,Delta_BA,Exact_MCC,Shot_MCC,Delta_MCC,Exact_F1,Shot_F1,Delta_F1,Exact_Specificity,Shot_Specificity,Delta_Specificity,Exact_Unsafe_Acceptance,Shot_Unsafe_Acceptance,Delta_Unsafe_Acceptance
256,10,25614529,5,0.16006882176050005,0,True,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1024,1,102405529,5,0.24557030028638105,0,True,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1024,2,102406529,5,0.23392152869792016,0,True,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1024,3,102407529,5,0.21255339601193174,0,True,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1024,4,102408529,5,0.2266391038849439,0,True,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1024,5,102409529,5,0.22723421905136826,0,True,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1024,6,102410529,5,0.2336766537421331,0,True,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1024,7,102411529,5,0.2440132254445078,0,True,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1024,8,102412529,5,0.22874617105923833,0,True,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1024,9,102413529,5,0.2571509409789744,0,True,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1024,10,102414529,5,0.24493141771745738,0,True,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
256,1,25605530,6,0.0650269541595849,0,True,0.5,0.25,0.25,0.0,-0.5773502691896258,-0.5773502691896258,0.0,0.4,0.4,0.0,0.0,0.0,0.0,1.0,1.0,0.0
256,2,25606530,6,0.06962854076648801,0,True,0.25,0.25,0.5,0.25,-0.5773502691896258,0.0,0.5773502691896258,0.4,0.6666666666666666,0.2666666666666666,0.0,0.0,0.0,1.0,1.0,0.0
256,3,25607530,6,0.1104907841036555,0,True,0.0,0.25,0.25,0.0,-0.5773502691896258,-0.5773502691896258,0.0,0.4,0.4,0.0,0.0,0.0,0.0,1.0,1.0,0.0
256,4,25608530,6,0.13080744630832658,0,True,0.25,0.25,0.0,-0.25,-0.5773502691896258,-1.0,-0.42264973081037416,0.4,0.0,-0.4,0.0,0.0,0.0,1.0,1.0,0.0
256,5,25609530,6,0.07700931804451704,0,True,0.0,0.25,0.25,0.0,-0.5773502691896258,-0.5773502691896258,0.0,0.4,0.4,0.0,0.0,0.0,0.0,1.0,1.0,0.0
256,6,25610530,6,0.11440908140623725,0,True,0.25,0.25,0.0,-0.25,-0.5773502691896258,-1.0,-0.42264973081037416,0.4,0.0,-0.4,0.0,0.0,0.0,1.0,1.0,0.0
256,7,25611530,6,0.1007720434539794,0,True,0.0,0.25,0.25,0.0,-0.5773502691896258,-0.5773502691896258,0.0,0.4,0.4,0.0,0.0,0.0,0.0,1.0,1.0,0.0
256,8,25612530,6,0.13637312429536083,0,True,0.25,0.25,0.5,0.25,-0.5773502691896258,0.0,0.5773502691896258,0.4,0.6666666666666666,0.2666666666666666,0.0,0.0,0.0,1.0,1.0,0.0
256,9,25613530,6,0.12696494300362182,0,True,0.25,0.25,0.5,0.25,-0.5773502691896258,0.0,0.5773502691896258,0.4,0.6666666666666666,0.2666666666666666,0.0,0.0,0.0,1.0,1.0,0.0
256,10,25614530,6,0.10862124192258726,0,True,0.25,0.25,0.0,-0.25,-0.5773502691896258,-1.0,-0.42264973081037416,0.4,0.0,-0.4,0.0,0.0,0.0,1.0,1.0,0.0
1024,1,102405530,6,0.1418777524585493,0,True,0.0,0.25,0.25,0.0,-0.5773502691896258,-0.5773502691896258,0.0,0.4,0.4,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1024,2,102406530,6,0.13432240448514018,0,True,0.25,0.25,0.0,-0.25,-0.5773502691896258,-1.0,-0.42264973081037416,0.4,0.0,-0.4,0.0,0.0,0.0,1.0,1.0,0.0
1024,3,102407530,6,0.11329329882753887,0,True,0.25,0.25,0.5,0.25,-0.5773502691896258,0.0,0.5773502691896258,0.4,0.6666666666666666,0.2666666666666666,0.0,0.0,0.0,1.0,1.0,0.0
1024,4,102408530,6,0.16900799411276818,0,True,0.25,0.25,0.5,0.25,-0.5773502691896258,0.0,0.5773502691896258,0.4,0.6666666666666666,0.2666666666666666,0.0,0.0,0.0,1.0,1.0,0.0
1024,5,102409530,6,0.14415855338171804,0,True,0.0,0.25,0.25,0.0,-0.5773502691896258,-0.5773502691896258,0.0,0.4,0.4,0.0,0.0,0.0,0.0,1.0,1.0,0.0
