feature_set,fold,C,gamma,n_train,n_valid,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,tn,fp,fn,tp
preview4,0,0.1,scale,2096,524,0.5114503816793893,0.4163934426229508,0.6195121951219512,0.4980392156862745,0.44200626959247646,0.5307592323572139,0.060870347827544045,141,178,78,127
preview4,1,0.1,scale,2096,524,0.5477099236641222,0.4215686274509804,0.4195121951219512,0.42053789731051344,0.6300940438871473,0.5248031195045493,0.049649914003575414,201,118,119,86
preview4,2,0.1,scale,2096,524,0.5324427480916031,0.41201716738197425,0.47058823529411764,0.43935926773455375,0.571875,0.5212316176470588,0.04166570148910184,183,137,108,96
preview4,3,0.1,scale,2096,524,0.5324427480916031,0.42857142857142855,0.6029411764705882,0.5010183299389002,0.4875,0.5452205882352941,0.08860151634749017,156,164,81,123
preview4,4,0.1,scale,2096,524,0.49236641221374045,0.40773809523809523,0.6715686274509803,0.5074074074074074,0.378125,0.5248468137254901,0.05051754178285741,121,199,67,137
preview4,0,0.1,auto,2096,524,0.5114503816793893,0.4163934426229508,0.6195121951219512,0.4980392156862745,0.44200626959247646,0.5307592323572139,0.060870347827544045,141,178,78,127
preview4,1,0.1,auto,2096,524,0.549618320610687,0.424390243902439,0.424390243902439,0.424390243902439,0.6300940438871473,0.5272421438947932,0.05448428778958636,201,118,118,87
preview4,2,0.1,auto,2096,524,0.5324427480916031,0.41201716738197425,0.47058823529411764,0.43935926773455375,0.571875,0.5212316176470588,0.04166570148910184,183,137,108,96
preview4,3,0.1,auto,2096,524,0.5324427480916031,0.42857142857142855,0.6029411764705882,0.5010183299389002,0.4875,0.5452205882352941,0.08860151634749017,156,164,81,123
preview4,4,0.1,auto,2096,524,0.49236641221374045,0.40773809523809523,0.6715686274509803,0.5074074074074074,0.378125,0.5248468137254901,0.05051754178285741,121,199,67,137
preview4,0,0.1,0.01,2096,524,0.5,0.4033898305084746,0.5804878048780487,0.476,0.4482758620689655,0.5143818334735071,0.02830008724126101,143,176,86,119
preview4,1,0.1,0.01,2096,524,0.566793893129771,0.41911764705882354,0.2780487804878049,0.3343108504398827,0.7523510971786834,0.5151999388332442,0.03384221584195008,240,79,148,57
preview4,2,0.1,0.01,2096,524,0.5458015267175572,0.4247787610619469,0.47058823529411764,0.44651162790697674,0.59375,0.5321691176470589,0.06334274296232037,190,130,108,96
preview4,3,0.1,0.01,2096,524,0.5916030534351145,0.4666666666666667,0.3431372549019608,0.3954802259887006,0.75,0.5465686274509804,0.10046899911216942,240,80,134,70
preview4,4,0.1,0.01,2096,524,0.5400763358778626,0.41232227488151657,0.4264705882352941,0.41927710843373495,0.6125,0.5194852941176471,0.03874481911548162,196,124,117,87
preview4,0,1.0,scale,2096,524,0.5076335877862596,0.41368078175895767,0.6195121951219512,0.49609375,0.43573667711598746,0.5276244361189694,0.05473897171830872,139,180,78,127
preview4,1,1.0,scale,2096,524,0.5133587786259542,0.40875912408759124,0.5463414634146342,0.46764091858037576,0.49216300940438873,0.5192522364095115,0.03762167851494329,157,162,93,112
preview4,2,1.0,scale,2096,524,0.5381679389312977,0.42578125,0.5343137254901961,0.47391304347826085,0.540625,0.537469362745098,0.07309858930929015,173,147,95,109
preview4,3,1.0,scale,2096,524,0.5190839694656488,0.4215686274509804,0.6323529411764706,0.5058823529411764,0.446875,0.5396139705882352,0.07837534819982118,143,177,75,129
preview4,4,1.0,scale,2096,524,0.5057251908396947,0.4074074074074074,0.5931372549019608,0.48303393213572854,0.45,0.5215686274509804,0.042447432300153985,144,176,83,121
