map,map_tag,pair_index,i,j,source_index_i,source_index_j,circuit_name,exact_fidelity,shots
zz_ring_r2_robust,zz-ring-r2,54,4,5,3034,1321,tq-pilot32-strict-v1-zz-ring-r2-p0054,0.08911081152422722,4096
zz_ring_r2_robust,zz-ring-r2,55,4,6,3034,802,tq-pilot32-strict-v1-zz-ring-r2-p0055,0.02010704017858939,4096
zz_ring_r2_robust,zz-ring-r2,56,4,7,3034,3138,tq-pilot32-strict-v1-zz-ring-r2-p0056,0.029201747067051722,4096
zz_ring_r2_robust,zz-ring-r2,57,4,8,3034,1770,tq-pilot32-strict-v1-zz-ring-r2-p0057,0.0019742397596377225,4096
zz_ring_r2_robust,zz-ring-r2,58,4,9,3034,2251,tq-pilot32-strict-v1-zz-ring-r2-p0058,0.06837248068407985,4096
zz_ring_r2_robust,zz-ring-r2,59,4,10,3034,1579,tq-pilot32-strict-v1-zz-ring-r2-p0059,0.03350700575524874,4096
zz_ring_r2_robust,zz-ring-r2,60,4,11,3034,2717,tq-pilot32-strict-v1-zz-ring-r2-p0060,0.12618743553473596,4096
zz_ring_r2_robust,zz-ring-r2,61,4,12,3034,2097,tq-pilot32-strict-v1-zz-ring-r2-p0061,0.030850597749276926,4096
zz_ring_r2_robust,zz-ring-r2,62,4,13,3034,1152,tq-pilot32-strict-v1-zz-ring-r2-p0062,0.09806129432064639,4096
zz_ring_r2_robust,zz-ring-r2,63,4,14,3034,1775,tq-pilot32-strict-v1-zz-ring-r2-p0063,0.02007645983198267,4096
zz_ring_r2_robust,zz-ring-r2,64,4,15,3034,304,tq-pilot32-strict-v1-zz-ring-r2-p0064,0.0007604729104681987,4096
zz_ring_r2_robust,zz-ring-r2,65,5,6,1321,802,tq-pilot32-strict-v1-zz-ring-r2-p0065,0.07681524487868072,4096
zz_ring_r2_robust,zz-ring-r2,66,5,7,1321,3138,tq-pilot32-strict-v1-zz-ring-r2-p0066,0.03727764632936524,4096
zz_ring_r2_robust,zz-ring-r2,67,5,8,1321,1770,tq-pilot32-strict-v1-zz-ring-r2-p0067,0.1994616580723937,4096
zz_ring_r2_robust,zz-ring-r2,68,5,9,1321,2251,tq-pilot32-strict-v1-zz-ring-r2-p0068,0.16572937945126937,4096
zz_ring_r2_robust,zz-ring-r2,69,5,10,1321,1579,tq-pilot32-strict-v1-zz-ring-r2-p0069,0.00893275136683933,4096
