accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp,map,group,fold,C,alignment,intra_similarity,inter_similarity,similarity_gap,effective_rank_train,offdiag_mean,offdiag_std,distance_to_identity,distance_to_uniform,state_seconds,kernel_seconds,svc_seconds,total_seconds
0.6875,0.6875,0.7142857142857143,0.625,0.6666666666666666,6,2,3,5,P_XYZ_XXYYZZ_r1_linear_a2_minmax,pauli_terms,1,10.0,0.14619542894446164,0.0038566181093831805,0.0037110685192498585,0.000145549590133322,47.92537272861095,0.0037822949144214833,0.0072839498803588375,0.0562672106286085,0.985812168098766,3.176680023000017,0.025685560999988866,0.001982274999988931,3.204347858999995
0.5625,0.5625,0.5454545454545454,0.75,0.631578947368421,3,5,2,6,P_XYZ_XXYYZZ_r1_linear_a2_minmax,pauli_terms,2,10.0,0.14590969555868197,0.003565042825438175,0.003518305699165781,4.673712627239384e-05,47.945391617823184,0.003541177058830995,0.006074700428319142,0.048205500225836785,0.986042734100999,1.6167220610000186,0.032876199000043016,0.0018078659999787305,1.6514061260000403
0.4375,0.4375,0.4444444444444444,0.5,0.47058823529411764,3,5,4,4,P_XYZ_XXYYZZ_r1_linear_a2_minmax,pauli_terms,3,0.01,0.14353034492643546,0.0031576634328401272,0.0037881449835807457,-0.0006304815507406185,47.92902171705318,0.00347961145875023,0.007195432429607176,0.05479462890089412,0.9861110376777414,1.7526245860000245,0.03244028800003207,0.004088996000007228,1.7891538700000638
0.5,0.5,0.5,0.625,0.5555555555555556,3,5,3,5,P_Z_ZY_ZZ_r1_linear_a2_minmax,pauli_terms,0,1.0,0.14655140855878787,0.0027807447686520785,0.002556003991340479,0.00022474077731159938,47.96313574202968,0.002665983520663177,0.005095376158716006,0.03942467929570485,0.9869033203071281,0.8642437379999706,0.0010009439999976166,0.0017499869999824114,0.8669946689999506
0.5,0.5,0.5,0.5,0.5,4,4,4,4,P_Z_ZY_ZZ_r1_linear_a2_minmax,pauli_terms,1,10.0,0.14473932160766825,0.0023436199015511457,0.0026495206213452967,-0.00030590071979415094,47.96704837608057,0.0024998245244247544,0.004824798354893209,0.03725327751299067,0.9870664058776805,0.6827309550000109,0.003698450000001685,0.0017773710000028586,0.6882067760000155
0.4375,0.4375,0.4444444444444444,0.5,0.47058823529411764,3,5,4,4,P_Z_ZY_ZZ_r1_linear_a2_minmax,pauli_terms,2,1.0,0.14574206219879107,0.0026528558819726837,0.002653525317036919,-6.694350642355226e-07,47.95141594616787,0.002653197721154421,0.006036086076644364,0.04520252519266321,0.9869211666686715,0.7533333210000137,0.023501476999967963,0.0015983530000198698,0.7784331510000015
0.5625,0.5625,0.5333333333333333,1.0,0.6956521739130435,1,7,0,8,P_Z_ZY_ZZ_r1_linear_a2_minmax,pauli_terms,3,0.01,0.14717302510565425,0.00280903194864026,0.002393871998627222,0.0004151599500130383,47.95343232045341,0.002597035378420836,0.005899005860139028,0.0441872668995496,0.9869759283304957,0.5960040710000385,0.0009217799999987619,0.003724993000048471,0.6006508440000857
0.5625,0.5625,0.6,0.375,0.46153846153846156,6,2,5,3,P_Z_ZZ_r2_linear_a2_minmax,reps,0,10.0,0.14799600319134473,0.0030835796216680234,0.002432703648905636,0.0006508759727623875,47.95498584653749,0.002751217422810634,0.005739884060112672,0.04363744856842892,0.9868224446547845,0.6826741460000108,0.03073516400002063,0.0032825150000235226,0.7166918250000549
0.375,0.375,0.3333333333333333,0.25,0.2857142857142857,4,4,6,2,P_Z_ZZ_r2_linear_a2_minmax,reps,1,10.0,0.144307728923077,0.0027991697893449113,0.003201973497765241,-0.00040280370842032953,47.931265187380454,0.003004856789389335,0.007235117017654382,0.05370917874481873,0.9865810929002792,0.9449891890000117,0.0019372520000047189,0.003945600000008653,0.9508720410000251
0.8125,0.8125,0.8571428571428571,0.75,0.8,7,1,2,6,P_Z_ZZ_r2_linear_a2_minmax,reps,2,0.01,0.1467975145881331,0.003177102465324123,0.002862089390561181,0.0003150130747629422,47.938776449269334,0.003016244725019642,0.006770324635112625,0.05081285577078916,0.9865665941173599,1.2328514739999719,0.06746254899996984,0.00600254099998665,1.3063165639999283
